_id.$oid,writers
573a1391f29313caabcd6d90,Robert Dillon (scenario)
573a1391f29313caabcd6ea2,Bronson Howard (original play \The Henrietta\)
573a1391f29313caabcd6ea2,Victor Mapes (play)
573a1391f29313caabcd6ea2,June Mathis (scenario)
573a1391f29313caabcd6ea2,Winchell Smith (play)
573a1391f29313caabcd6f8f,Oscar Micheaux
573a1391f29313caabcd6f98,Gouverneur Morris (by)
573a1391f29313caabcd6f98,Ruth Wightman (scenario)
573a1391f29313caabcd70b4,Vicente Blasco Ibèèez (novel)
573a1391f29313caabcd70b4,June Mathis (written for the screen by)
573a1391f29313caabcd715c,Charles Chaplin
573a1391f29313caabcd71e3,Clara Beranger (adaptation)
573a1391f29313caabcd71e3,Zona Gale (novel)
573a1391f29313caabcd71f5,H.M. Walker (titles)
573a1391f29313caabcd71f5,Sam Taylor (scenario)
573a1391f29313caabcd72f0,Joseph Hergesheimer (novel)
573a1391f29313caabcd72f0,Edmund Goulding
573a1391f29313caabcd72f0,Henry King
573a1391f29313caabcd73f4,Buster Keaton
573a1391f29313caabcd73f4,Edward F. Cline
573a1391f29313caabcd7472,Erich von Stroheim (story)
573a1391f29313caabcd7472,Marian Ainslee (titles)
573a1391f29313caabcd7472,Walter Anthony (titles)
573a1391f29313caabcd75b5,Henrik Galeen (screen play)
573a1391f29313caabcd75b5,Bram Stoker (based on the novel: \Dracula\)
573a1391f29313caabcd7616,Oscar Wilde (play)
573a1391f29313caabcd7616,Natacha Rambova (scenario)
573a1391f29313caabcd7626,Douglas Fairbanks (story)
573a1391f29313caabcd7850,Victor Hugo
573a1391f29313caabcd7850,Perley Poore Sheehan (adaptation)
573a1391f29313caabcd7850,Edward T. Lowe Jr. (scenario)
573a1391f29313caabcd7915,Jean C. Havez (story)
573a1391f29313caabcd7915,Clyde Bruckman (story)
573a1391f29313caabcd7915,Joseph A. Mitchell (story)
573a1391f29313caabcd796e,Hal Roach (story)
573a1391f29313caabcd796e,Sam Taylor (story)
573a1391f29313caabcd796e,Tim Whelan (story)
573a1391f29313caabcd796e,H.M. Walker (titles)
573a1391f29313caabcd79e4,Clyde Bruckman (story)
573a1391f29313caabcd79e4,Joseph A. Mitchell (story)
573a1391f29313caabcd79e4,Jean C. Havez (story)
573a1391f29313caabcd7a34,Charles Chaplin
573a1391f29313caabcd7ac4,Lewis H. Moomaw (story)
573a1391f29313caabcd7b98,Leonid Andreyev (adapted from the play by)
573a1391f29313caabcd7b98,Carey Wilson (adapted for the screen by)
573a1391f29313caabcd7b98,Victor Sjèstrèm (adapted for the screen by)
573a1391f29313caabcd7b98,Marian Ainslee (titles)
573a1391f29313caabcd7bc3,Charles Kenyon (story)
573a1391f29313caabcd7bc3,John Russell (story)
573a1391f29313caabcd7bc3,Charles Kenyon (scenario)
573a1391f29313caabcd7bc3,Charles Darnton (titles)
573a1391f29313caabcd7c4c,Clyde Bruckman (story)
573a1391f29313caabcd7c4c,Joseph A. Mitchell (story)
573a1391f29313caabcd7c4c,Jean C. Havez (story)
573a1391f29313caabcd7c9e,J.M. Barrie (play)
573a1391f29313caabcd7c9e,Willis Goldbeck (screenplay)
573a1391f29313caabcd7d02,Jean C. Havez (story)
573a1391f29313caabcd7d02,Joseph A. Mitchell (story)
573a1391f29313caabcd7d02,Clyde Bruckman (story)
573a1391f29313caabcd7d4e,Lotta Woods (scenario editor)
573a1391f29313caabcd7d4e,Douglas Fairbanks (story)
573a1391f29313caabcd7da6,Joseph Hergesheimer (by)
573a1391f29313caabcd7da6,King Vidor (adapted by)
573a1391f29313caabcd7da6,Tom Miranda (titles)
573a1391f29313caabcd7db6,Alfred Hitchcock
573a1391f29313caabcd7db6,Michael Morton (novel)
573a1391f29313caabcd7e23,Laurence Stallings (story)
573a1391f29313caabcd7e23,Harry Behn (scenario)
573a1391f29313caabcd7e23,Joseph Farnham (titles)
573a1391f29313caabcd7e30,Nina Agadzhanova (script by)
573a1391f29313caabcd7e6e,Charles Logue (by)
573a1391f29313caabcd7f07,Sam Taylor (story)
573a1391f29313caabcd7f07,Ted Wilde (story)
573a1391f29313caabcd7f07,John Grey (story)
573a1391f29313caabcd7f07,Tim Whelan (story)
573a1391f29313caabcd7f08,Buster Keaton
573a1391f29313caabcd7f08,Lex Neal (assistant writer)
573a1391f29313caabcd7f08,Raymond Cannon (scenario)
573a1391f29313caabcd7f11,Richard Carver (titled by)
573a1391f29313caabcd7f11,Terry Ramsaye (titled by)
573a1391f29313caabcd7f19,June Mathis (screen adaptation and scenario)
573a1391f29313caabcd7f19,Erich von Stroheim (screen adaptation and scenario)
573a1391f29313caabcd7f19,Frank Norris (from the American classic \McTeague\ by)
573a1391f29313caabcd7f27,Charles Chaplin
573a1391f29313caabcd7faa,Oscar Wilde (by)
573a1391f29313caabcd7faa,Julien Josephson (adapted to the screen by)
573a1391f29313caabcd7faa,Maude Fulton (titles by)
573a1391f29313caabcd7faa,Eric Locke (titles by)
573a1391f29313caabcd7fb7,Arthur Conan Doyle (based upon the novel by)
573a1391f29313caabcd7fb7,Marion Fairfax (screenplay)
573a1391f29313caabcd806b,Gaston Leroux (from the celebrated novel by)
573a1391f29313caabcd80db,Roi Cooper Megrue (adapted from David Belasco's famous comedy by)
573a1391f29313caabcd80db,Clyde Bruckman (screen version)
573a1391f29313caabcd80db,Jean C. Havez (screen version)
573a1391f29313caabcd80db,Joseph A. Mitchell (screen version)
573a1391f29313caabcd820b,Herbert Brenon (adaptation)
573a1391f29313caabcd820b,John Russell (adaptation)
573a1391f29313caabcd820b,Paul Schofield
573a1391f29313caabcd820b,Percival Christopher Wren (novel)
573a1391f29313caabcd8210,Paul Girard Smith (adapted by: from the stage success of the same name)
573a1391f29313caabcd8210,Al Boasberg (adapted by: from the stage success of the same name)
